Time,accX,accY,accZ
1583287397062,5.4645977,-8.974948,6.17584
1583287397112,4.362333,-7.6695657,4.4305253
1583287397163,4.936996,-9.769068,5.1649113
1583287397212,4.2454863,-8.148002,2.573801
1583287397263,4.4792967,-6.2604084,2.7961469
1583287397313,4.456024,-9.110476,3.8823898
1583287397362,4.5691595,-8.355988,3.8368313
1583287397413,4.627375,-7.111786,4.3535514
1583287397462,4.5642066,-6.28777,5.535546
1583287397513,4.5868487,-5.2030177,6.6428413
1583287397562,4.9184976,-4.742974,7.0799294
1583287397613,5.0810843,-5.0883117,6.960211
1583287397662,5.016607,-5.3010216,6.692301
1583287397713,4.924663,-5.227424,6.579092
1583287397763,4.91544,-5.565103,6.4997187
1583287397812,4.936172,-5.6026883,6.4240828
1583287397863,5.0960813,-5.332303,6.603658
1583287397912,5.0993323,-5.327333,6.646395
1583287397962,4.9552674,-5.444614,6.53318
1583287398012,4.889488,-5.5678186,6.438017
1583287398063,4.892843,-5.6320386,6.47888
1583287398113,4.9147825,-5.6498923,6.483272
1583287398162,5.2703643,-5.8607726,6.6699595
1583287398212,5.177852,-6.007677,6.7287183
1583287398263,5.401817,-7.4606614,6.1553044
1583287398313,5.4435034,-9.626449,4.686684
1583287398363,3.9175806,-12.065061,3.134707
1583287398413,3.547895,-14.625963,2.1495123
Time,accX,accY,accZ
1583287388462,-1.508609,-4.0317326,8.880044
1583287388512,0.44598085,-4.742982,9.87956
1583287388563,0.5825799,-5.02767,9.988043
1583287388613,0.41595092,-6.216838,9.927184
1583287388662,-0.46445626,-6.0210447,8.193996
1583287388712,-0.98120666,-5.6486883,8.501492
1583287388763,-1.3794448,-6.4217396,7.6697607
1583287388813,-1.6602716,-7.296217,6.7257924
1583287388863,-1.8070209,-6.8315787,6.0535665
1583287388913,-1.8615812,-7.3809714,5.7128863
1583287388962,-1.5665245,-7.855011,5.586399
1583287389012,-1.4353155,-7.6307497,5.309052
1583287389063,-1.1347347,-8.024868,5.7882266
1583287389112,-1.0507075,-8.051207,5.6793723
1583287389162,-1.2481694,-7.4508653,6.216091
1583287389213,-1.039562,-7.570774,6.744705
1583287389262,-1.2101078,-7.4901857,6.396719
1583287389313,-1.159537,-7.386712,5.995929
1583287389362,-1.3677984,-7.4753795,5.565594
1583287389413,-1.2179794,-7.4522734,5.854008
1583287389462,-1.053247,-7.655867,5.506979
1583287389512,-1.1341103,-7.927424,5.373372
1583287389563,-1.0609252,-7.9318557,5.405045
1583287389613,-1.231996,-8.188861,5.286748
1583287389662,-1.3071965,-7.929968,5.2732224
1583287389713,-1.2838395,-8.172574,5.000963
1583287389762,-1.3003538,-8.001038,4.934566
1583287389812,-1.5054271,-7.853772,4.8919053
1583287389862,-1.5114712,-8.456892,5.0631356
1583287389913,-1.1196785,-9.665232,5.315429
1583287389963,-1.1827995,-10.307966,5.766254
1583287390012,-1.6852094,-10.1944685,6.0110455
1583287390062,-1.9618444,-8.670106,6.693402
1583287390112,-2.6385033,-6.8375106,6.803608
1583287390163,-2.9265997,-5.6145434,6.775115
1583287390212,-3.5627978,-4.411254,6.3143897
1583287390263,-4.3395867,-4.0573277,5.296594
1583287390313,-4.831544,-3.9035685,4.6389856
1583287390362,-5.1512036,-4.020848,4.1310034
1583287390413,-5.4813623,-4.042154,3.5219016
1583287390462,-5.641997,-4.710071,3.1756306
1583287390513,-5.3879027,-5.9164753,3.2692072
1583287390563,-5.128904,-7.1307507,3.439567
1583287390613,-4.984646,-7.3022017,4.1128173
1583287390663,-4.978324,-7.412293,5.3946595
1583287390712,-5.035706,-7.118102,6.200162
1583287390763,-4.6789875,-7.2829857,6.690542
1583287390812,-4.341712,-6.8816886,7.166569
1583287390862,-4.0241356,-6.403656,7.139892
1583287390913,-3.8561804,-6.308283,7.0001397
1583287390963,-3.6919441,-6.7200704,6.380687
1583287391012,-3.5401123,-6.5967293,6.5097466
1583287391062,-3.4910972,-6.4350924,6.6348996
1583287391112,-3.4844677,-6.4320893,6.5841947
1583287391163,-3.5793629,-6.064433,6.2375875
1583287391212,-3.6294825,-6.1948195,6.1691847
1583287391263,-3.5075314,-6.250271,6.381456
1583287391312,-3.4827147,-6.1796684,6.5492396
1583287391363,-3.453377,-5.7115965,6.8842816
1583287391413,-3.2742417,-5.445922,7.193011
1583287391462,-3.0894525,-5.8754773,7.412345
1583287391513,-3.0447943,-6.360881,7.2339892
1583287391562,-2.9840426,-6.1819143,6.96688
1583287391613,-2.876797,-5.767524,6.8021536
1583287391662,-3.0607502,-5.898662,7.060921
1583287391713,-3.1629384,-5.8626094,7.070887
1583287391762,-3.1235847,-6.108823,6.954543
1583287391813,-3.0594687,-5.983038,7.0046997
1583287391862,-3.0352862,-6.0257597,6.9875793
1583287391913,-2.980043,-6.1300936,7.111498
1583287391962,-3.1317143,-6.099989,6.9602995
1583287392012,-3.095541,-6.0332217,7.0715146
1583287392062,-3.0863035,-5.9318104,7.055609
1583287392113,-3.0245333,-6.0078917,7.0937395
1583287392163,-3.2231586,-6.0306935,6.9853525
1583287392213,-3.126818,-6.044913,6.8792467
1583287392263,-3.178377,-6.012126,6.84542
1583287392313,-3.1645973,-6.1409225,6.7538466
1583287392362,-3.2204053,-6.1717477,6.8892493
1583287392412,-3.1686466,-6.082252,6.843946
1583287392463,-3.1136434,-6.1619964,6.8787265
1583287392513,-3.200706,-6.098633,6.8428965
1583287392563,-3.2114568,-6.0550027,6.764354
1583287392612,-3.3965743,-6.320584,6.541721
1583287392663,-3.5583389,-6.411114,6.28372
1583287392712,-3.5805151,-6.244495,6.3531914
1583287392763,-3.6634724,-6.506831,6.0333366
1583287392813,-3.6714435,-6.673138,6.354065
1583287392862,-3.5859842,-7.0202756,6.6818347
1583287392912,-3.7208238,-7.219372,6.6617856
1583287392963,-4.0942626,-6.9719567,6.613207
1583287393013,-4.288247,-7.076732,6.1791925
1583287393063,-4.436767,-7.208613,5.638903
1583287393112,-5.0467873,-7.391929,4.5376067
1583287393162,-5.7143703,-6.466682,3.7054973
1583287393212,-6.158044,-4.1049404,2.9886434
1583287393262,-5.8811507,-2.441956,2.0204725
1583287393312,-4.7002764,-3.0168388,2.981958
1583287393362,-3.616023,-3.0880826,6.5812383
1583287393413,-2.756961,-5.025149,7.981007
1583287393462,-1.8363373,-7.3055673,9.189889
1583287393513,-1.1886481,-7.7980404,9.674657
1583287393563,-1.5540069,-6.6957073,9.388657
1583287393612,-2.2118,-5.861702,9.198208
1583287393662,-2.0238862,-4.3761845,9.514556
1583287393712,-1.310939,-3.50282,8.927984
1583287393763,-0.30766165,-2.2758546,8.067848
1583287393812,0.100576155,-2.6447217,9.306223
1583287393863,0.5542396,-2.7979698,10.804822
1583287393913,0.9374477,-1.1977234,10.328688
1583287393963,0.6564672,-2.6258366,9.767277
1583287394013,0.3446737,-2.7313113,9.235988
1583287394062,0.13513297,-2.6059349,9.591903
1583287394112,-0.020279484,-2.2114356,9.391236
1583287394162,2.992861E-4,-2.1936038,9.996439
1583287394212,-0.17617634,-1.8269478,9.76476
1583287394262,0.31790638,-2.6095972,9.614946
1583287394312,0.6212806,-1.7149682,9.738955
1583287394362,0.9278497,-2.2993536,9.414894
1583287394412,1.1097568,-2.3996263,9.339444
1583287394463,1.272405,-2.7182653,9.229519
1583287394512,0.9983614,-2.8208585,9.486653
1583287394562,0.8137154,-1.9867499,9.704181
1583287394612,0.7955623,-2.181451,9.561992
1583287394662,0.6312987,-2.2564623,9.608909
1583287394713,0.824093,-3.7188509,9.070133
1583287394762,1.8648474,-4.527129,8.599512
1583287394812,0.83903193,-4.7029943,9.614378
1583287394863,-0.2463797,-4.2725325,8.376268
1583287394913,-4.229713,1.517066,-2.878221
1583287394963,4.056982,-14.56703,5.0500817
1583287395013,7.1535325,-1.1271925,18.652903
1583287395063,7.218622,1.9485097,15.924757
1583287395112,4.72493,-3.666234,10.266531
1583287395162,2.7215562,-5.432587,8.735416
1583287395212,2.2936594,-7.0598297,6.8588815
1583287395262,1.2552274,-7.391916,5.925858
1583287395312,-1.8308647,-5.579406,7.786625
1583287395362,-4.5975714,-2.830476,8.271819
1583287395412,-4.671793,-0.17722154,7.74853
1583287395462,-2.6531663,-0.4272158,8.031438
1583287395512,-0.8927702,-0.8038275,11.318556
1583287395563,-0.2423853,-0.47109073,10.211819
1583287395613,-0.24109773,-1.0236974,9.898444
1583287395662,-0.9533939,-0.5018361,10.227173
1583287395713,-0.88183177,-0.3090221,9.149586
1583287395763,-1.7120417,-1.215235,8.97617
1583287395813,-1.3149589,-1.8047237,11.742986
1583287395863,-3.5037045,-0.5962601,9.526915
1583287395913,-2.3545716,-4.6817393,8.607983
1583287395963,-0.68019915,-2.4570827,10.269097
1583287396012,-1.9863551,2.442649,4.1203203
1583287396062,4.413389,-15.692217,-0.78801703
1583287396113,4.3774905,-4.8019576,9.590084
1583287396163,3.6479099,-0.072854996,9.926357
1583287396213,4.29434,-7.6755314,8.123075
1583287396262,2.9243727,-6.3891487,8.175399
1583287396312,2.777409,-7.532647,7.747047
1583287396362,3.246292,-8.470633,6.9017167
1583287396412,2.7960706,-9.069087,5.593617
1583287396462,2.5138106,-8.680265,5.914896
1583287396512,2.033858,-8.307647,1.6094087
1583287396563,3.0303178,-7.0562506,5.07537
1583287396613,4.258005,-10.209145,5.5989075
1583287396663,2.0584881,-8.471495,4.0411954
1583287396712,2.9258552,-7.027946,5.8822937
1583287396762,2.0284107,-7.025668,5.245122
1583287396813,1.8337721,-5.6105022,3.4250233
1583287396863,2.3454683,-9.1025505,1.5064265
1583287396913,2.998561,-7.5095983,5.2473946
1583287396962,3.351009,-5.823744,5.3068113
1583287397013,4.0349503,-6.6090536,6.8184757
1583287397062,5.4645977,-8.974948,6.17584
1583287397112,4.362333,-7.6695657,4.4305253
1583287397163,4.936996,-9.769068,5.1649113
1583287397212,4.2454863,-8.148002,2.573801
1583287397263,4.4792967,-6.2604084,2.7961469
1583287397313,4.456024,-9.110476,3.8823898
1583287397362,4.5691595,-8.355988,3.8368313
1583287397413,4.627375,-7.111786,4.3535514
1583287397462,4.5642066,-6.28777,5.535546
1583287397513,4.5868487,-5.2030177,6.6428413
1583287397562,4.9184976,-4.742974,7.0799294
1583287397613,5.0810843,-5.0883117,6.960211
1583287397662,5.016607,-5.3010216,6.692301
1583287397713,4.924663,-5.227424,6.579092
1583287397763,4.91544,-5.565103,6.4997187
1583287397812,4.936172,-5.6026883,6.4240828
1583287397863,5.0960813,-5.332303,6.603658
1583287397912,5.0993323,-5.327333,6.646395
1583287397962,4.9552674,-5.444614,6.53318
1583287398012,4.889488,-5.5678186,6.438017
1583287398063,4.892843,-5.6320386,6.47888
1583287398113,4.9147825,-5.6498923,6.483272
1583287398162,5.2703643,-5.8607726,6.6699595
1583287398212,5.177852,-6.007677,6.7287183
1583287398263,5.401817,-7.4606614,6.1553044
1583287398313,5.4435034,-9.626449,4.686684
1583287398363,3.9175806,-12.065061,3.134707
1583287398413,3.547895,-14.625963,2.1495123
